Episode,TotalReward,SuccessCount
155,92.85580444,1
156,92.84623718,1
157,-658.9801025,0
158,-1635.664551,0
159,-1525.982056,0
160,-634.4747925,0
161,-645.2791138,0
162,-743.5376587,0
163,-4931.679688,0
164,92.92216492,1
165,1956.666748,0
166,240.2500305,0
167,-2459.213379,0
168,-2106.4729,0
169,158.1424255,2
170,1107.984741,0
171,-2354.296631,0
172,-1628.96814,0
173,-2614.820557,0
174,-715.9012451,0
175,-4313.310547,0
176,-2009.533203,0
177,-2569.758545,0
178,-1759.732666,0
179,-3034.659424,0
180,-1548.627563,0
181,-4156.771484,0
182,-2534.290283,0
183,-1648.811035,0
184,-4829.09375,0
185,-1064.186401,0
186,-1146.977051,0
187,-4087.982422,0
188,-2013.187256,0
189,-722.7418823,0
190,-2051.663086,0
191,1082.930298,0
192,173.0051727,2
193,1126.215088,0
194,-2237.617432,0
195,-3344.076172,0
196,703.3874512,0
197,108.1234894,0
198,176.3638306,0
199,60.04333115,1
200,-1924.696289,0
201,-2449.146484,0
202,-2288.622559,0
203,154.798172,2
204,-2343.500977,0
205,-2419.44751,0
206,1942.783325,0
207,1062.028564,0
208,-1407.150879,0
209,-4266.932617,0
210,-296.3538208,0
211,29.44361687,0
212,-3865.304688,0
213,92.81656647,1
214,-4719.5625,0
215,162.1646576,1
216,1038.215942,0
217,-756.5653076,0
218,58.35984421,0
219,-2444.272217,0
220,-3977.826172,0
221,-1573.627441,0
222,-1459.136719,0
223,-1540.352051,0
224,-668.0458374,0
225,92.83512878,1
226,6.958686829,1
227,-2030.783203,0
228,-3205.84082,0
229,-867.0714111,0
230,-4163.977051,0
231,-683.8807373,0
232,-2373.037842,0
233,-748.0437622,0
234,92.84734344,1
235,-2535.932617,0
236,-697.6369629,0
237,-2822.990234,0
238,-2529.788818,0
239,-2874.921875,0
240,1220.289307,0
241,-1309.530518,0
242,-4733.341797,0
243,-3990.154053,0
244,141.6797791,0
245,169.6417694,0
246,-4092.338379,0
247,-726.2550659,0
248,-2531.329102,0
249,-2461.057373,0
250,1006.100708,0
251,1056.377075,0
252,60.0725441,1
253,-1898.930664,0
254,-1949.508911,0
255,92.92211914,1
256,-174.5543518,0
257,-3770.080811,0
258,-1454.386597,0
259,-3379.166504,0
260,1084.996704,0
261,-2498.898682,0
262,-2453.429199,0
263,94.77954865,1
264,-3769.520508,0
265,-2843.923828,0
266,-1993.062988,0
267,-2882.616455,0
268,-3854.679443,0
269,-2086.368652,0
270,135.0528717,0
271,-1044.901367,0
272,-4451.299805,0
273,-4913.35791,0
274,-3203.803467,0
275,-2481.748535,0
276,-2497.105713,0
277,-3729.066895,0
278,98.66027069,1
279,-290.0781555,0
280,-3832.288086,0
281,-2333.972412,0
282,594.616333,0
283,92.98610687,1
284,-2453.372559,0
285,-2113.918945,0
286,664.9363403,0
287,-2455.195313,0
288,212.8320313,0
289,-3142.366943,0
290,-1892.458374,0
291,-2370.748291,0
292,-1392.284912,0
293,81.06871033,1
294,-1567.280518,0
295,-1908.938477,0
296,-3770.629395,0
297,-295.3273926,0
298,-1842.729858,0
299,-2130.345703,0
300,-1950.89563,0
301,520.4390869,0
302,-3460.505371,0
303,-718.9882813,0
304,-3414.234131,0
305,104.1194916,1
306,1024.644409,0
307,-1503.380249,0
308,86.95755768,1
309,28.6883812,1
310,98.86180115,1
311,-2989.043457,0
312,148.1046448,0
313,-1588.666626,0
314,119.7157974,1
315,-5146.980957,0
316,1081.17688,0
317,-2794.647705,0
318,-710.3566895,0
319,80.98126221,1
320,-1995.863647,0
321,-2645.741943,0
322,-273.4934387,0
323,-1544.303589,0
324,-77.93560791,1
325,92.86761475,1
326,-5496.942383,0
327,178.9121399,0
328,-727.0184326,0
329,-5050.811035,0
330,77.73273468,1
331,-1412.053833,0
332,-2494.366211,0
333,-3685.311523,0
334,-2572.7146,0
335,-115.9600525,0
336,-4708.737305,0
337,-1488.453857,0
338,80.77481842,1
339,92.83737946,1
340,187.1355743,0
341,86.90946198,1
342,92.93411255,1
343,218.7463989,0
344,-2427.951416,0
345,-1482.567993,0
346,-3726.564209,0
347,134.8790894,0
348,150.9233246,0
349,1080.589722,0
350,1557.232422,0
351,-778.5154419,0
352,-1553.75708,0
353,-425.9743652,0
354,-3360.305908,0
355,-3312.800049,0
356,153.0123749,0
357,-81.04032898,0
358,80.67980194,1
359,473.9336548,0
360,-1205.150757,0
361,-815.9282837,0
362,-594.0596313,0
363,619.326416,0
364,-2963.041504,0
365,153.992218,0
366,192.8071747,0
367,-5492.808105,0
368,-7316.372559,0
369,-2450.113037,0
370,-4258.934082,0
371,727.8986206,0
372,-5532.57373,0
373,-4302.757324,0
374,160.797699,2
375,-2876.37915,0
376,-3751.175537,0
377,649.6021118,0
378,-2080.436523,0
379,275.5586853,0
380,66.27047729,1
381,-1928.17749,0
382,1868.910522,0
383,-5976.845703,0
384,-2887.865479,0
385,-618.694519,0
386,-4010.612061,0
387,-333.2511292,1
388,-1441.252197,0
389,189.6904449,0
390,-2417.984863,0
391,-3306.385742,0
392,-654.9470215,0
393,649.619873,0
394,-1535.206421,0
395,-4235.761719,0
396,-1812.851929,0
397,-1485.171387,0
398,-99.23297882,0
399,1026.965576,0
400,-1949.631104,0
401,-1503.694214,0
402,74.70101166,1
403,-1560.147217,0
404,-600.8277588,0
405,235.8215332,0
406,-617.0089722,0
407,-2271.494385,0
408,-2152.891113,0
409,86.83244324,1
410,-609.5259399,0
411,-644.0700073,0
412,-5319.016113,0
413,-4567.981445,0
414,-2379.23877,0
415,-3342.554199,0
416,-1080.704712,0
417,-1530.30603,0
418,-714.8833008,0
419,-1163.248779,0
420,-2859.789551,0
421,-4534.782715,0
422,80.96437836,1
423,1048.272949,0
424,-792.050415,0
425,255.477951,0
426,-663.1588745,0
427,-2118.663818,0
428,1029.934326,0
429,-1139.619263,0
430,-4122.237793,0
431,-572.3994751,0
432,-1668.113647,0
433,-2670.074463,0
434,1979.735474,0
435,-3853.893799,0
436,-1207.061279,0
437,98.84417725,1
438,-1525.928345,0
439,1213.782959,0
440,-1087.302124,0
441,-1472.722534,0
442,259.6152954,0
443,-1893.977905,0
444,-3736.585449,0
445,-5509.331055,0
446,-3750.671387,0
447,-3318.062256,0
448,163.5761871,0
449,-5450.635254,0
450,298.3235168,0
451,136.0528107,0
452,-2299.883789,0
453,-1554.401245,0
454,-5283.531738,0
455,-2385.651855,0
456,-3772.222412,0
457,185.5611877,0
458,-2679.974121,0
459,1089.075073,0
460,-1676.336182,0
461,166.8293915,2
462,-582.5011597,0
463,-3803.076904,0
464,-5123.233887,0
465,-312.0331116,0
466,-1587.159668,0
467,849.0342407,0
468,-1960.207275,0
469,-2521.365234,0
470,-2318.787842,0
471,-2468.976807,0
472,814.5010376,0
473,-774.9852905,0
474,-1436.17334,0
475,92.95420837,1
476,175.8068542,0
477,-3380.989502,0
478,-5594.345215,0
479,-1929.042236,0
480,153.2102661,0
481,-1184.793823,0
482,-1550.067627,0
483,-3125.311523,0
484,220.8205109,0
485,-1564.526611,0
486,-606.1502075,0
487,-3299.691406,0
488,-2375.065186,0
489,-1584.036865,0
490,-2504.575684,0
491,-1576.276733,0
492,92.9287262,1
493,-1031.195801,0
494,-1590.854736,0
495,83.68597412,1
496,-3953.184814,0
497,-3422.543701,0
498,-843.6448364,0
499,-2081.665771,0
