Episode,TotalReward,SuccessCount,Collisions
97,-6802.514648,100,7573
98,-5455.873535,100,7642
99,-17243.25977,0,8165
100,-6517.970703,98,8072
101,-6792.5625,100,7711
102,-15450.26465,0,7317
103,-6511.207031,100,8076
104,-15698.96875,0,7263
105,-14977.83984,0,7440
106,-4944.838379,100,7502
107,-14337.40137,0,7805
108,-4494.040527,100,8216
109,-6017.785645,99,8133
110,-15220.22461,0,7685
111,-6784.436523,100,7828
112,-14941.72852,0,8039
113,-14459.55469,0,8030
114,-6270.026855,98,8033
115,-5577.916504,98,7995
116,-5418.8125,91,7285
117,-4319.214844,99,7113
118,-14905.94922,0,8045
119,-6585.257324,100,7728
120,-16009.04199,0,7540
121,-5018.535645,100,7684
122,-6349.530273,100,7476
123,-15187.65625,0,7833
124,-15439.08887,0,7391
125,-6425.70459,100,7547
126,14571.66406,300,8142
127,-5574.562012,100,8231
128,-15717.60742,0,7633
129,-5514.109375,96,7398
130,-14961.33887,0,7643
131,-5012.787598,94,7216
132,-14760.38574,0,7527
133,-5463.902344,98,7504
134,-15335.25879,0,7875
135,-4894.113281,100,7149
136,-6891.303711,98,8009
137,-6951.247559,100,7889
138,-6848.928223,94,8167
139,-6778.740234,100,7493
140,-15667.60645,0,7125
141,-4633.077148,98,6673
142,-5354.672363,99,6945
143,-15848.0498,0,8429
144,-4935.134766,99,6831
145,-6228.234863,100,7594
146,-5571.777832,100,8025
147,-5721.742188,99,7570
148,-6393.098145,97,7224
149,-5731.74707,100,6655
150,-16274.2832,0,8334
151,-5251.323242,99,7806
152,-7680.629883,93,8080
153,-15457.12695,0,7635
154,-15475.27344,0,6934
155,-4905.73584,100,7563
156,-6216.330078,98,7972
157,-15165.80957,0,7802
158,-6291.734375,100,7383
159,-15288.56152,0,7600
160,-5037.94873,99,7902
161,-5346.588379,100,7293
162,-6421.927246,100,8032
163,-14376.97852,0,7522
164,-5576.821289,100,8133
165,-5822.291504,96,7909
166,-15149.21875,0,7425
167,-5749.513184,100,7293
168,-7197.553223,95,8455
169,-5400.689941,99,7558
170,-17104.10352,0,7856
171,-4428.166992,100,8133
172,-5736.217285,99,7821
173,-15565.0127,0,7470
174,-15047.33691,0,7748
175,-6525.398926,100,7684
176,-15910.71387,0,7671
177,-5492.176758,99,7535
178,-14888.50977,0,8189
179,-14460.13672,0,7560
180,-4885.931641,99,7590
181,-6259.339355,100,7910
182,-6456.408203,100,8026
183,-5776.184082,99,7745
184,-15314.32129,0,7681
185,-16118.17676,0,7610
186,-16968.73242,0,7926
187,-17136.24414,0,8116
188,-7613.04248,100,7967
189,-6732.549805,100,8082
190,-16274.15723,0,8381
191,-16138.95215,0,7999
192,-6515.617188,99,7598
193,-6079.94873,100,8197
194,-6971.803223,100,8478
195,-15693.45605,0,7554
196,-3863.377441,97,7269
197,-6757.690918,97,8177
198,-5697.427734,95,7541
199,-5499.658203,99,7065
200,-6755.275391,100,8229
201,-6801.611816,100,8161
202,-5979.88623,96,7874
203,-6068.260742,98,7556
204,-6517.624023,99,7941
205,-6474.314941,100,7611
206,-4417.950684,99,7203
207,-16013.09473,0,7753
208,-5926.593262,100,7937
209,-15421.6582,0,8235
210,-5489.701172,100,7539
211,-9587.104492,70,7689
212,-14933.43262,0,7336
213,-14969.93652,0,7194
214,-5902.135254,98,7652
215,-4605.875977,100,7139
216,-16469.98633,0,7496
217,-15488.2832,0,7979
218,-6249.331543,100,7611
219,-13945.21973,0,7639
220,-5089.344727,100,7329
221,-9431.368164,75,7692
222,-16537.13672,0,8274
223,-6033.290527,97,7259
224,-16008.3291,0,7544
225,-5393.115723,99,7510
226,-5517.653809,100,7262
227,-5478.891113,100,7266
228,-7011.182617,86,7715
229,-15586.33594,0,7121
230,-4222.391602,97,7774
231,-16391.96875,0,7302
232,-15626.95117,0,7795
233,-6546.37207,100,8028
234,-5762.916992,99,7523
235,-6360.065918,100,7663
236,-6653.053223,100,7558
237,-18432.33984,0,9033
238,-16103.04297,0,7680
239,-15211.69336,0,7273
240,-6640.38916,98,7456
241,-6011.891602,100,7398
242,-6063.095703,99,7964
243,-6916.95459,92,7804
244,-15216.11523,0,7004
245,-5160.287598,100,7720
246,-6270.888184,99,8089
247,-5368.256836,99,7030
248,-16089.67773,0,8061
249,-5830.710449,100,7874
250,-6476.785645,100,7711
251,-4144.953125,97,7537
252,-6281.816895,99,7352
253,-4819.163574,100,7368
254,-6114.021484,100,8090
255,-15665.81738,0,7767
256,-6563.189941,99,7872
257,-5693.181641,100,8260
258,-16805.02734,0,8805
259,-5013.285645,100,7401
260,-6143.966309,84,7652
261,-5945.09375,100,7587
262,-5453.882324,93,7712
263,-6921.89502,100,8561
264,-15370.33496,0,7484
265,-17307.19336,0,8457
266,-6329.669434,100,7511
267,-5453.314941,96,7559
268,-5047.279297,100,6895
269,-16544.67578,0,7691
270,-5523.566406,99,7761
271,-5020.76416,100,7169
272,-16207.93848,0,8200
273,-5910.922363,100,7840
274,-16146.32129,0,7827
275,-5138.501953,98,8186
276,-5667.666504,100,8097
277,-5155.213379,100,7106
278,-15473.85742,0,7547
279,-16144.71094,0,7689
280,-15421.31152,0,7546
281,-7065.696777,99,7871
282,-16144.72266,0,8245
283,-5290.271484,99,7544
284,-16677.9375,0,7588
285,-5557.486816,98,7653
286,-17107.87695,0,8058
287,-7371.291016,91,8475
288,-16174.59766,0,8125
289,-6151.276367,100,7839
290,-5071.774414,100,7493
291,2771.657715,200,8402
292,-15981.87305,0,7757
293,-16293.88574,0,7650
294,-4994.771484,100,7160
295,-5657.834961,100,7235
296,-5730.807617,100,7380
297,-15127.55273,0,7984
298,-5706.813477,97,7562
299,-6298.227051,100,7609
300,-8761.476563,76,7750
301,-6450.627441,85,7428
302,-8500.542969,94,8429
303,-6002.259766,100,7621
304,-6075.219727,96,7824
305,-17085.94922,0,8081
306,-5728.401855,100,8137
307,-6123.940918,98,7880
308,-15593.625,0,7609
309,-6477.559082,100,7972
310,-16217.49805,0,7623
311,-6479.046387,88,7410
312,-5097.864258,100,8012
313,-6061.950684,98,7874
314,-6603.205566,88,7781
315,-6124.487793,100,7552
316,-14642.27637,0,7220
317,-15091.33398,0,7819
318,-5422.240234,100,7576
319,-5387.509766,99,6976
